alpha_0,alpha_1,beta_0,beta_1,$\sigma$,Y_0,Y_1,Y_2,Y_3,Y_4,Y_5,Y_6,Y_7,Y_8,Y_9,Y_10,Y_11,Y_12,Y_13,Y_14,Y_15,Y_16,Y_17,Y_18,Y_19,Y_20,Y_21,Y_22,Y_23,Y_24,Y_25,Y_26,Y_27,Y_28,Y_29,Y_30,Y_31,Y_32,Y_33,Y_34,Y_35,Y_36,Y_37,Y_38
-0.0032847352481112095,0.11028758222212987,0.12510728112412947,0.26548300006289677,0.010752838048078856,-0.002639865386469048,-0.015045378801448232,0.00939318140798912,-0.02115976900414399,-0.01285212624626397,-0.008962178010739457,0.0020879031966161057,-0.018584975090290418,-0.01127646020590107,-0.018288304917414126,-0.017058296671676187,-0.021917715174528684,-0.008907362441920946,0.005494357444503814,-0.008089552432821744,-0.0037342386181363793,-0.018507825386670416,-0.020559268591506637,-0.017416095510951322,-0.016346396918460893,-0.024483265129373166,-0.021273732899741146,-0.01432411934907738,-0.017985080374281103,-0.01237183387629738,0.0029469582355389655,-0.0038510991646125998,-0.01778867322059492,-0.010882024145076906,-0.014185302962434476,-0.023863370294717346,-0.006624535125683503,-0.009565006712070532,-0.013328547129055563,-0.01919042978312087,0.009353768626290792,-0.01375576265428044,0.00965153347409015,0.009829880851705067
-0.003063162161931013,0.15014257904618541,0.13577786134092792,0.262672636031895,0.00974876933425248,-0.02010160995659847,-0.011077585678798308,0.011392885096950241,-0.027379393899205625,-0.014497924287069575,-0.002570711834882519,-0.00960819244520348,-0.019835915877562678,-0.017791694431841875,-0.02358967363451177,-0.025795800779781004,-0.0192654099839949,-0.010423541452450783,0.008587489048228484,-0.020969043150154628,-0.01930895948834285,-0.004406005003332991,-0.0058353552798301594,-0.015529718846661664,-0.019752640483761828,-0.02421545251319625,-0.021313853324368925,-0.022768852162455763,-0.016905646860380503,-0.013493681108067021,-0.004239317893547001,0.005998019543646694,-0.014527618353674691,-0.012044877717127372,-0.005686311258118206,-0.017176899850476785,0.0021684103535570464,-0.021681522900308788,0.00042412272383434584,-0.024539313734583755,-0.001553714810585972,-0.010403471519010221,0.01060679574369183,0.009795925089941924
-0.002236852788347931,0.21982209266408997,0.12890801335044377,0.39870429145861175,0.00943938016791129,-0.020554406999326216,-0.025279360056597294,-0.051150770998802685,-0.017435596585960556,-0.023797630949508614,-0.03812301071941845,-0.027145268294631993,-0.016873212146936434,-0.00897565389611252,-0.01156521591530027,-0.0037279331792446787,-0.017868316161902903,-0.014764946654818357,-0.041360787786238605,-0.01195771395748793,-0.010897337755455908,-0.023717893938696943,-0.020920640668593726,-0.00801431745633448,-0.0033582881226283104,0.0026876269822369734,-0.001199610933794964,-0.0005762205053565179,-0.006277688202007259,-0.008840850892288862,-0.016775863800154965,-0.018842041297635764,0.0005851569527936566,-0.010184484154477194,-0.009648042229603686,-0.0007976402619946838,-0.016327620487724973,0.009737750067380787,-0.006926868658182629,0.01844468234501035,-0.005967859726827767,0.003751092041668887,-0.016102391955429573,-0.003989452700098726
-0.0026893903797631366,0.27184016342505035,0.09915592639015192,0.39918144550457024,0.014199169850431391,-0.005240811442930078,-0.028938014475609352,-0.0017580865937359361,-0.02064319048801826,-0.009391784906966716,-0.013584266303864433,-0.03279384510876848,-0.019910455030207153,-0.010925192335980589,-0.0407376870106979,-0.02293644323567731,-0.01767413122564265,-0.009153264199821563,-0.018642839473992426,-0.0266126687140796,-0.0009388369090540493,-0.012780517691649923,-0.011050657102441349,-0.007506725613231176,-0.023178718336230485,-0.010344807088405423,-0.012626810967752769,-0.04271249318687284,0.015151914732954542,-0.03402364550767223,-0.021212498707719036,-0.020447077313725012,-0.005355639998774889,-0.005001382544746215,0.0006660715530271844,0.011911596728170317,0.01239496978261529,-0.007250489044855018,0.0011673087788022448,0.0015195772115889235,-0.013408501923669956,0.0004743148635321736,-0.013566261734114696,0.006187219250610779
-0.0019543543393749246,0.19003645849060438,0.042236181533414026,0.44479373147898227,0.009210848149425074,-0.022222264563898635,-0.02532292565531609,-0.026272554893947524,-0.017362288620163997,-0.02355949257746963,-0.012688490858124825,-0.008318594971454448,-0.014156589980821513,-0.0029904075032414447,-0.005327128047261688,-0.010957607395002655,-0.003375509372630555,-0.01775293233238476,-0.011887533659890452,-0.01037198891464763,-0.03172758148561897,-0.014008569414148662,0.007475135627809041,-0.005084270396649668,-0.01668232629447307,-0.011733643295101737,-0.004403317653916901,0.003958329007564106,-0.013620576957091254,-0.0032810847233797056,-0.0045614671742753785,-0.011585332269336925,-0.020335313167842643,-0.013403640378776003,-0.01288567775925624,-0.015397723016745194,-0.00632616791903551,-0.00902177917512892,-0.010998709838419763,-0.00215769869011128,0.004032661443776813,-0.0007664456802762845,0.0034029787018024452,-0.012519528198208006
-0.003894387818685725,0.10578702452505669,0.059644872882155996,0.5222925347404218,0.010288210835748145,-0.01906789555298351,-0.020122510256838866,-0.024766334908857716,-0.01683370570973056,-0.013042820690144643,-0.023516708001799547,-0.04058790310180522,-0.02056577704071718,-0.03383233115683326,-0.0257808490269843,-0.01001324602172286,-0.023356131150737803,-0.013670431267037616,-0.024802321917516173,-0.019105660479912186,0.003172320642680579,-0.01912423985444464,-0.0313265340632725,-0.023762950308688368,-0.01191434131386472,-0.015377094299535085,-0.017007901390245415,-0.025624493782581463,-0.016722700352309022,-0.01674056163651819,-0.02147171339034991,-0.007647858521645248,-0.0014416334715074276,-0.0021418388443140237,-0.004014185883527496,-0.012245937070115,-0.011354821093359033,0.0004987854681473285,-0.003247881218555222,-0.009487140646107433,-0.0003278261315556531,-0.004193336192279947,-0.0114138230700133,0.007532589009453514
-0.004798755879533537,0.15768256895014696,0.15857921596124944,0.44060292008722746,0.010345000295571961,-0.03469448788649193,-0.022400325546797505,-0.0246091605559901,-0.026459118204705027,-0.02185219712384141,-0.005311223259010155,-0.005892276350987477,-0.022812094937109516,-0.02422162260081005,-0.014149665119925362,-0.0360967537472907,-0.016406356886928312,-0.020847775501054336,-0.014998546747723026,-0.02440096964334543,-0.03569563151265602,0.003935998180405975,-0.01143263297762356,-0.014101095197383407,-0.04890935341184739,-0.01031089438901722,-0.03194793351677117,-0.01358585160196498,-0.013664921654478145,-0.0109305867137347,-0.00663266884614641,-0.02426804222727676,-0.013757163684695392,-0.02582209450866603,-0.008050628636118468,-0.001998609233776349,-0.005452623653861409,-0.0040534498091458065,-0.0027341343406285788,0.0036004327497425924,-0.009851930828980402,0.0007399927545451931,-0.004694912962081128,-0.016796518418494166
-0.005361156606276346,0.10075500425808202,0.020317699558832107,0.6094804007084468,0.010612968984377632,-0.021848928145857153,-0.032193320467231036,-0.025147141566941995,-0.026947363973170827,-0.026114290505221276,-0.048457460378022406,-0.030251391398966446,-0.025341253298333307,-0.024108562145067625,-0.030366857794542654,-0.0034512593343345816,-0.02477642505557356,-0.027391681554393456,-0.03287791659183225,-0.025025561518428673,-0.010831876349929914,-0.02452897921374842,-0.029914087333712914,-0.02829685965182455,0.015285028252959866,-0.00734470814221222,-0.007424863892695998,-0.01863324890733283,-0.015224412845700015,-0.021528253339866247,-0.027122214308828465,-0.003600160206436153,-0.004770947651431013,-0.001163547969396464,-0.01503081424528896,-0.022437921948843014,-0.016144002423820896,-0.021655671760796264,-0.02598051853898362,-0.02349376777806892,-0.01050484552474765,-0.020388773068220217,-0.01147807358586297,-0.0006116189577958227
-0.004733131581077653,0.1508630704194795,0.14357346361280435,0.49683061154338665,0.012170390087900615,-0.03351854420701342,-0.011854263320013329,-0.03168521150440152,-0.025006992041365392,-0.008942479693653818,-0.042095103082719465,-0.04429396858113148,-0.01131279148959569,-0.018492157147310756,-0.039877179632811434,-0.026850657112339357,-0.04156702496078663,-0.03210383403862804,-0.009416712049777736,-0.007793697443002953,-0.022755678051824067,-0.026509445080465068,-0.03297964171332248,-0.023213677054249593,-0.009287176561890875,-0.016953946294524794,-0.008960777774869904,-0.005399785113404303,-0.02598555144789456,-0.011397438391332018,-0.0039534654259893625,-0.0009139263168055761,-0.005584933294018424,-0.028384185180994188,-0.004141890438868304,-0.002735886831321775,-0.030183694259612964,-0.011650333597037224,-0.006372846394367214,-0.017178598403696864,0.010021696336711298,-0.03372180349281774,-0.03240096202149691,0.010803699730784763
-0.0044915449645194835,0.10901869712022433,0.09474988102811745,0.3533385738888161,0.011604566714523177,-0.015247721648952377,-0.040126633560130215,-0.0160987231323714,-0.022048230778443936,-0.02472306005184999,-0.014674136816279569,-0.0002755410315906956,-0.01460769876604175,-0.025699682558904157,-0.010980814763654246,-0.010297621349650371,-0.007147147834599426,0.005811249324801878,-0.0326576754668575,-0.04103000863387858,-0.013793050832476146,-0.006894844944827958,-0.017980965158983613,-0.011357331479190703,-0.020397422665008977,-0.012907211185876958,-0.008051464847736793,-0.022958795621902534,-0.004670480058607967,-0.022788576733195228,-0.02632089723339815,-0.030016807627352635,-0.011024730115514504,0.0016807509080247174,-0.022937466588924423,-0.010410103461040616,0.01197107810158882,-0.006144645631118768,-0.011027586613134447,-0.00011095359216646864,-0.022084718466264038,0.021137625960811375,0.007498660485829038,-0.025908158651307505
