alpha_0,alpha_1,beta_0,sigma
0.008039435592601533,0.32121282292930353,0.2172404207910408,0.013949093518316899
0.008441485956185095,0.3299274363263088,0.1305073680068849,0.014528857659275975
0.008168470023577037,0.2887510876040749,0.1591445444093459,0.015484644159303902
0.004943363126038843,0.6769569389298923,0.2726577386678192,0.012567225996428597
0.0034046233407317977,0.5517418774430922,0.15268256016623186,0.01580411339850747
0.01059166918264585,0.3158433708727979,0.2084560713104438,0.012185580006322801
0.00133181746889621,0.7095900158153233,0.12682890065132693,0.01409976951331902
0.010280448819252302,0.17302908981493195,0.22540327006766683,0.014399868969600804
0.008922168047165287,0.34750171991543255,0.06291011320184821,0.01195110300391605
0.004421840125706001,0.6119700560606065,0.36022198455536397,0.01580896305832857
0.00579210913657978,0.4996508132693394,0.08547773834535685,0.012637427468398703
0.004987870634877064,0.48952614035630726,0.11505376987365121,0.013207039592928722
0.007838665045041993,0.3641811749283387,0.12382382799711647,0.015125109575945933
0.00659885449588478,0.5965351538481545,0.12077853039093658,0.016648140416186376
0.004535815111403957,0.2815384087177427,0.07296096575732297,0.017005406877204376
0.004950543062014248,0.680246148622847,0.31230482198593273,0.011451825901569202
0.009789852329075728,0.12859000693251482,0.10045792652959731,0.017286322157867916
0.0038239986362534795,0.6433501434994998,0.185864467208822,0.012155124707559932
0.005754526161788795,0.7349948429093752,0.2443088748626057,0.011835837966145209
0.005361363402976433,0.2550587771661971,0.14109202966778253,0.016051264095371956
0.006312420562895976,0.6451795573946861,0.14678338813898323,0.01423023704557216
0.007829511199146513,0.405003485434613,0.1841031971792398,0.013753611163503446
0.0016027660636103753,0.7373038782261778,0.2949785627502549,0.015133255654982868
0.005197789208082907,1.001050583750561,0.39377608862384095,0.015435153839522563
0.006729739406987756,0.9531806400741822,0.3829556284018215,0.014810586046678209
0.004000091990985846,0.20324732177099503,0.049273486578336814,0.014863252467267959
0.011828551221109996,0.6013192214776784,0.29194689770534793,0.01431494376141647
0.002397811965347813,0.23319965991043634,0.05098982537235373,0.014879511865747848
0.00880084270282393,0.6650218713729269,0.2281810286021443,0.014474344064611969
0.005116594700711068,0.24352990634128244,0.1805650692154495,0.014519951183378765
0.010226724444447829,0.49744164408103986,0.21368895775670607,0.01288417511196102
0.00012494061646318378,0.6367769018893776,0.1881064138739537,0.016614726247827102
0.0010299803638923388,0.5256631992505334,0.20925846012267624,0.01662958239578334
0.00973707078571709,0.5134391638372144,0.24796970728045828,0.013402749233957862
0.004691789149188949,0.7008883015291836,0.2662208241612625,0.01372000396666477
0.005134977736850143,0.3816686547081803,0.11891256621860245,0.013503726437200395
0.009709970845133366,0.6866660910508696,0.30321691621837027,0.015271262919866621
0.006608110557055878,0.4461682000581674,0.05807942677648491,0.01421571593688128
0.007610641908661713,0.3853582670750423,0.2583953189299085,0.01147192856475775
0.004448779308712681,0.2936854246856877,0.12577279061498958,0.01193973738593014
0.009918522126598986,0.5435450250620385,0.20198960754373052,0.018769969561158013
0.004781660901203773,0.515874409430999,0.18999397680478577,0.01374886627754261
0.007587074140972531,0.3496757037876546,0.07333194614560287,0.015055365225846187
0.004075544421393559,0.6089035995580842,0.3554572088036434,0.013412319355385302
0.007783092157789657,0.3994305722257236,0.07503544799151833,0.014163456827631255
0.009263940966366216,0.32953170854563596,0.30249194906145177,0.012463872206171778
