beta_0,beta_1,alpha_0,alpha_1
0.06448299102867447,0.25968140371273285,0.006262888088226107,-0.10628531890705487
0.0966584948158863,0.09861775940817365,0.00110556200516227,0.2333195327041966
-0.15792380646216456,0.42665138608967723,0.003130342137496431,-0.28006862969707796
0.10679694270006718,-0.03240866077909164,0.008282058654887717,-0.27928255855958173
0.12885019875904935,-0.06174319324701325,0.009063607342733999,-0.2454608297826505
0.12043330181131469,0.18905873550286548,0.009453355316142229,-0.4162134283600265
0.08139680231296594,0.12230504249510228,-0.001974496432726053,0.3943863509665584
0.16466696218102003,0.12600529592516901,0.0005841667255135155,0.08415136238978498
0.017748638319185037,0.2254837180720617,0.006493647739298936,-0.05823335724153379
0.07767523615082803,0.26295253651669337,-0.002097242328309096,0.11169424169850786
0.08141314202779953,0.18548610301851845,0.005980882075927362,-0.027237458906573808
0.09805100475131966,0.08424556509592566,0.0029323483125034133,-0.15501380546333193
0.01966073138852707,0.26230363500378556,0.003747445051715123,-0.03462377758816606
0.09593142476289203,0.1846086953086803,0.0009539347727562601,0.07074849979360255
0.041068774811465016,0.21073171110484212,0.001008181570452314,0.003344691728818743
0.10646279284282181,0.1569485652598109,0.0035560637014946505,-0.20928713745271108
0.03474796900394871,0.3352843909685478,0.003753984620239664,-0.06689855238814618
-0.014842092702659355,0.22748668388706558,0.00321343404575884,-0.12346855999521114
0.10953895972432598,0.04095281961815571,0.0024712524306892613,-0.008601302642625853
0.056168675836508745,0.19044651288347156,0.002864546932810681,-0.17752237829269035
0.1062896891712883,0.1588161759662468,0.004132865939278058,-0.004827722752577937
0.18733021596138938,0.044019789839157504,0.002011270742575432,0.022861683134168
0.20402526346829894,0.04668286078865117,0.004298402113561269,-0.08478836118300731
0.10106112849720116,0.26280418012381745,0.005916846245775583,-0.19070485423239827
0.1609542482238756,0.20017894602441913,-0.0012115775501587362,0.2799809395603091
0.11143145241605365,0.09280537322753045,0.0062159882201805105,-0.185103503895897
0.05400525661887428,0.22509252826475973,0.003074397964062501,-0.07905097942244362
0.18469368119490998,-0.033486629250058214,0.005519451862845796,-0.1805238537294384
0.04188015245135972,0.2027724290698523,0.0035458251640299795,-0.0950580106466778
